epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1018.17,1.84345,1.19692,0.00459,0.90799,0.83297,0.90069,0.50365,1.6108,0.68844,0.00526,0.000998596,0.000332865,0.000998596,0.000332865,0.0677121,0.0670463,0.000998596,0.000332865
2,1944.29,1.78473,1.12946,0.00434,0.9213,0.8328,0.90508,0.50127,1.60996,0.67248,0.00514,0.00199662,0.000665541,0.00199662,0.000665541,0.0353768,0.0340457,0.00199662,0.000665541
3,2792.74,1.76987,1.10508,0.00421,0.90938,0.84703,0.90176,0.48507,1.685,0.66041,0.00548,0.00298677,0.000995591,0.00298677,0.000995591,0.00303359,0.00104241,0.00298677,0.000995591
4,3638.02,1.7314,1.06922,0.00408,0.91532,0.84124,0.90317,0.53414,1.49063,0.63036,0.00468,0.00297343,0.000991145,0.00297343,0.000991145,0.00297343,0.000991145,0.00297343,0.000991145
5,4473.72,1.71378,1.05953,0.0041,0.91528,0.86842,0.91348,0.53848,1.4889,0.6101,0.00467,0.00295288,0.000984293,0.00295288,0.000984293,0.00295288,0.000984293,0.00295288,0.000984293
6,5283.46,1.6905,1.02263,0.00401,0.93232,0.85691,0.91589,0.55391,1.45332,0.58558,0.00442,0.00292659,0.000975531,0.00292659,0.000975531,0.00292659,0.000975531,0.00292659,0.000975531
7,6105.92,1.67609,1.01161,0.00402,0.93513,0.86736,0.92113,0.55434,1.45843,0.58971,0.00444,0.00289468,0.000964892,0.00289468,0.000964892,0.00289468,0.000964892,0.00289468,0.000964892
8,6950.97,1.67569,0.98162,0.0039,0.94366,0.87219,0.92184,0.55042,1.47106,0.55673,0.0046,0.00285725,0.000952418,0.00285725,0.000952418,0.00285725,0.000952418,0.00285725,0.000952418
9,7784.88,1.66525,0.96966,0.00387,0.93331,0.87187,0.92114,0.55361,1.47206,0.55541,0.00447,0.00281448,0.00093816,0.00281448,0.00093816,0.00281448,0.00093816,0.00281448,0.00093816
10,8610.01,1.65468,0.95934,0.00378,0.93909,0.88001,0.92859,0.54479,1.50406,0.55305,0.00457,0.00276652,0.000922172,0.00276652,0.000922172,0.00276652,0.000922172,0.00276652,0.000922172
11,9399.61,1.64746,0.94364,0.00383,0.93998,0.88867,0.92566,0.55658,1.46072,0.53923,0.00453,0.00271355,0.000904518,0.00271355,0.000904518,0.00271355,0.000904518,0.00271355,0.000904518
12,10199.8,1.63879,0.937,0.00378,0.95088,0.88693,0.93218,0.56658,1.42373,0.52504,0.00434,0.0026558,0.000885268,0.0026558,0.000885268,0.0026558,0.000885268,0.0026558,0.000885268
13,10980.9,1.62663,0.89298,0.00366,0.94632,0.89287,0.93062,0.56866,1.42676,0.52023,0.00437,0.00259349,0.000864498,0.00259349,0.000864498,0.00259349,0.000864498,0.00259349,0.000864498
14,11766.8,1.63729,0.89959,0.00375,0.94407,0.89551,0.93247,0.57081,1.41906,0.52002,0.00427,0.00252687,0.000842289,0.00252687,0.000842289,0.00252687,0.000842289,0.00252687,0.000842289
15,12563.8,1.61393,0.91183,0.00373,0.95336,0.90367,0.93597,0.57219,1.41897,0.50259,0.00429,0.00245619,0.00081873,0.00245619,0.00081873,0.00245619,0.00081873,0.00245619,0.00081873
16,13381.1,1.61566,0.89356,0.00362,0.94853,0.8963,0.93281,0.57315,1.41313,0.51651,0.00422,0.00238174,0.000793913,0.00238174,0.000793913,0.00238174,0.000793913,0.00238174,0.000793913
17,14213.5,1.61151,0.88607,0.00359,0.94647,0.89469,0.93296,0.56777,1.408,0.51942,0.00422,0.00230381,0.000767937,0.00230381,0.000767937,0.00230381,0.000767937,0.00230381,0.000767937
18,15053.2,1.61411,0.87474,0.00369,0.95292,0.8949,0.93253,0.56249,1.43868,0.51588,0.00425,0.00222271,0.000740903,0.00222271,0.000740903,0.00222271,0.000740903,0.00222271,0.000740903
19,15879.7,1.614,0.87951,0.00365,0.95103,0.90635,0.93542,0.57046,1.40717,0.49347,0.00425,0.00213876,0.000712918,0.00213876,0.000712918,0.00213876,0.000712918,0.00213876,0.000712918
20,16679,1.59813,0.8663,0.00355,0.96196,0.89068,0.9353,0.57524,1.41789,0.51128,0.00418,0.00205228,0.000684094,0.00205228,0.000684094,0.00205228,0.000684094,0.00205228,0.000684094
21,17463.7,1.58694,0.83992,0.00358,0.95741,0.90916,0.94227,0.5786,1.39946,0.48969,0.00419,0.00196363,0.000654543,0.00196363,0.000654543,0.00196363,0.000654543,0.00196363,0.000654543
22,18252.7,1.58277,0.8519,0.00356,0.95031,0.89944,0.93568,0.56914,1.41939,0.50332,0.00424,0.00187315,0.000624383,0.00187315,0.000624383,0.00187315,0.000624383,0.00187315,0.000624383
23,19028.3,1.58993,0.84585,0.00357,0.96088,0.90818,0.93829,0.56282,1.45497,0.48966,0.00435,0.00178119,0.000593731,0.00178119,0.000593731,0.00178119,0.000593731,0.00178119,0.000593731
24,19828.8,1.58207,0.83755,0.00356,0.9579,0.90876,0.93958,0.57333,1.40787,0.48488,0.00419,0.00168813,0.00056271,0.00168813,0.00056271,0.00168813,0.00056271,0.00168813,0.00056271
25,20618.7,1.57479,0.8404,0.00346,0.94936,0.9168,0.94104,0.57056,1.40976,0.4856,0.00417,0.00159433,0.000531442,0.00159433,0.000531442,0.00159433,0.000531442,0.00159433,0.000531442
26,21435,1.57005,0.82358,0.00348,0.95464,0.90514,0.93617,0.57572,1.38863,0.49074,0.00408,0.00150015,0.00050005,0.00150015,0.00050005,0.00150015,0.00050005,0.00150015,0.00050005
27,22267.4,1.56406,0.81129,0.00343,0.95501,0.91287,0.93736,0.57034,1.41166,0.48006,0.00416,0.00140597,0.000468658,0.00140597,0.000468658,0.00140597,0.000468658,0.00140597,0.000468658
28,23099.5,1.56389,0.81057,0.00351,0.96122,0.91399,0.94092,0.58175,1.39479,0.48032,0.00407,0.00131217,0.00043739,0.00131217,0.00043739,0.00131217,0.00043739,0.00131217,0.00043739
29,23916.5,1.55907,0.82643,0.0034,0.9574,0.91841,0.94016,0.58251,1.38424,0.47592,0.00409,0.00121911,0.000406369,0.00121911,0.000406369,0.00121911,0.000406369,0.00121911,0.000406369
30,24700.3,1.55398,0.80077,0.00336,0.96234,0.914,0.94083,0.58024,1.38755,0.47515,0.00412,0.00112715,0.000375717,0.00112715,0.000375717,0.00112715,0.000375717,0.00112715,0.000375717
31,25500.6,1.55119,0.80618,0.00334,0.96457,0.90997,0.93997,0.57922,1.38419,0.47936,0.00407,0.00103667,0.000345557,0.00103667,0.000345557,0.00103667,0.000345557,0.00103667,0.000345557
32,26280.4,1.53397,0.79294,0.0034,0.96295,0.9176,0.94194,0.5807,1.38447,0.46144,0.0041,0.000948018,0.000316006,0.000948018,0.000316006,0.000948018,0.000316006,0.000948018,0.000316006
33,27087.8,1.54025,0.79114,0.00335,0.96488,0.91646,0.94348,0.58507,1.37904,0.46387,0.00403,0.000861545,0.000287182,0.000861545,0.000287182,0.000861545,0.000287182,0.000861545,0.000287182
34,27897.2,1.52167,0.78193,0.00334,0.96438,0.9141,0.94197,0.57812,1.38365,0.46756,0.00406,0.000777592,0.000259197,0.000777592,0.000259197,0.000777592,0.000259197,0.000777592,0.000259197
35,28779.8,1.53117,0.79446,0.00333,0.96691,0.91607,0.94572,0.58799,1.37132,0.45726,0.00403,0.00069649,0.000232163,0.00069649,0.000232163,0.00069649,0.000232163,0.00069649,0.000232163
36,29576.4,1.46009,0.69732,0.00344,0.96482,0.91488,0.93849,0.58517,1.38727,0.46469,0.00406,0.00061856,0.000206187,0.00061856,0.000206187,0.00061856,0.000206187,0.00061856,0.000206187
37,30345.9,1.44462,0.68168,0.0035,0.9645,0.90916,0.93879,0.57894,1.38869,0.46283,0.00405,0.00054411,0.00018137,0.00054411,0.00018137,0.00054411,0.00018137,0.00054411,0.00018137
38,31191.7,1.44488,0.67533,0.00344,0.96523,0.91484,0.93978,0.5806,1.39005,0.46027,0.00402,0.000473432,0.000157811,0.000473432,0.000157811,0.000473432,0.000157811,0.000473432,0.000157811
39,31996.9,1.43922,0.65784,0.00338,0.95709,0.92243,0.93699,0.57759,1.39334,0.45591,0.00404,0.000406806,0.000135602,0.000406806,0.000135602,0.000406806,0.000135602,0.000406806,0.000135602
40,32563.6,1.43037,0.65819,0.00341,0.96223,0.91881,0.93905,0.58083,1.38309,0.45308,0.00401,0.000344496,0.000114832,0.000344496,0.000114832,0.000344496,0.000114832,0.000344496,0.000114832
41,33126.1,1.42627,0.65485,0.0034,0.95865,0.92122,0.94091,0.5796,1.38959,0.45353,0.00404,0.000286746,9.5582e-05,0.000286746,9.5582e-05,0.000286746,9.5582e-05,0.000286746,9.5582e-05
42,33681.3,1.42321,0.6482,0.00335,0.96407,0.91667,0.93867,0.58113,1.37724,0.45285,0.004,0.000233785,7.79283e-05,0.000233785,7.79283e-05,0.000233785,7.79283e-05,0.000233785,7.79283e-05
43,34213.4,1.42181,0.65547,0.00342,0.96288,0.9174,0.9399,0.58133,1.38087,0.4522,0.00399,0.000185821,6.19405e-05,0.000185821,6.19405e-05,0.000185821,6.19405e-05,0.000185821,6.19405e-05
