epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1387.61,1.55581,0.81234,0.00361,0.91729,0.91426,0.94196,0.59069,1.18141,1.50095,0.00472,0.000998814,0.000332938,0.000998814,0.000332938,0.067705,0.0670391,0.000998814,0.000332938
2,2541.18,1.52494,0.80472,0.00361,0.94722,0.91555,0.95156,0.60505,1.16472,1.09686,0.00459,0.00199686,0.00066562,0.00199686,0.00066562,0.0353697,0.0340385,0.00199686,0.00066562
3,3726.54,1.53067,0.81084,0.00367,0.93796,0.91912,0.95072,0.60493,1.15623,1.23883,0.00462,0.00298711,0.000995703,0.00298711,0.000995703,0.00302665,0.00103524,0.00298711,0.000995703
4,4882.03,1.54096,0.85009,0.00369,0.94954,0.90559,0.9448,0.60165,1.17651,0.8409,0.00484,0.0029737,0.000991232,0.0029737,0.000991232,0.0029737,0.000991232,0.0029737,0.000991232
5,6072.69,1.55174,0.83907,0.00365,0.94992,0.90443,0.94709,0.58938,1.21352,1.00378,0.00519,0.00295335,0.000984449,0.00295335,0.000984449,0.00295335,0.000984449,0.00295335,0.000984449
6,7385.3,1.54465,0.83196,0.00371,0.93504,0.91956,0.95172,0.58738,1.2123,1.05875,0.00473,0.00292732,0.000975773,0.00292732,0.000975773,0.00292732,0.000975773,0.00292732,0.000975773
7,8531.47,1.53306,0.82525,0.00372,0.95571,0.91832,0.95686,0.5723,1.2603,1.01078,0.00517,0.00289572,0.000965239,0.00289572,0.000965239,0.00289572,0.000965239,0.00289572,0.000965239
8,9777.9,1.5364,0.82308,0.00369,0.95685,0.90904,0.95314,0.57983,1.2641,1.00174,0.00531,0.00285867,0.000952889,0.00285867,0.000952889,0.00285867,0.000952889,0.00285867,0.000952889
9,10947.7,1.52685,0.82383,0.00357,0.9503,0.9202,0.95563,0.57537,1.25391,0.8606,0.00507,0.00281632,0.000938772,0.00281632,0.000938772,0.00281632,0.000938772,0.00281632,0.000938772
10,12041.4,1.53419,0.82373,0.00365,0.964,0.91294,0.95444,0.61254,1.14015,0.67298,0.00454,0.00276883,0.000922942,0.00276883,0.000922942,0.00276883,0.000922942,0.00276883,0.000922942
